lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARAA075AMK,953.0,613.0,2505.0,1430.0,446.0,3495.0,5481.0,4062.0,1146.0,5824.0,2827.0,2680.0,1993.0,3576.0,720.0,1466.0,1403.0,886.0,1435.0,1192.0,4674.0,1213.0,5362.0,3991.0,807.0,6717.0,8292.0,4935.0,4233.0,3441.0,321.0,520.0,438.0,2306.0,91386.3,1160787.0,1541168.960354
sub-NDARAA306NT2,857.0,575.0,1986.0,1244.0,467.0,2637.0,4100.0,2990.0,1038.0,4862.0,2459.0,3158.0,1625.0,2927.0,591.0,1173.0,1276.0,697.0,1301.0,1403.0,3721.0,1105.0,4084.0,3294.0,864.0,6051.0,6921.0,5033.0,3983.0,3692.0,310.0,472.0,379.0,2456.0,79729.7,971588.0,1386474.818292
sub-NDARAA396TWZ,969.0,575.0,2488.0,1711.0,404.0,3453.0,4622.0,4601.0,1064.0,5878.0,2719.0,3113.0,1925.0,4083.0,627.0,1463.0,1574.0,793.0,1226.0,1541.0,4343.0,1491.0,5656.0,3936.0,882.0,6115.0,8095.0,5395.0,5048.0,4841.0,289.0,569.0,531.0,2764.0,94784.5,1214091.0,1605523.615153
sub-NDARAA504CRN,1115.0,638.0,2160.0,1248.0,340.0,2902.0,4757.0,2971.0,1008.0,4946.0,2560.0,3180.0,1457.0,3128.0,556.0,1238.0,1619.0,673.0,1033.0,1468.0,4099.0,1265.0,4330.0,3653.0,769.0,5035.0,6315.0,5070.0,4111.0,3694.0,242.0,386.0,453.0,2161.0,80580.8,995297.0,1341521.870666
sub-NDARAA536PTU,1112.0,717.0,2917.0,1823.0,464.0,3435.0,4599.0,4331.0,1085.0,5295.0,2843.0,3729.0,2141.0,4110.0,722.0,1455.0,1711.0,794.0,1352.0,1895.0,5040.0,1335.0,5549.0,4076.0,1075.0,7122.0,8818.0,5083.0,5552.0,5411.0,305.0,548.0,551.0,2664.0,99657.9,1205728.0,1666859.877879
sub-NDARAA947ZG5,924.0,521.0,2422.0,1543.0,430.0,3266.0,4979.0,3219.0,1230.0,4871.0,2369.0,2954.0,1640.0,3514.0,679.0,1410.0,1520.0,569.0,1113.0,1563.0,3892.0,1167.0,4876.0,3625.0,640.0,4843.0,7583.0,5530.0,4607.0,4011.0,227.0,405.0,510.0,2422.0,85073.5,1122702.0,1584589.261499
sub-NDARAA948VFH,993.0,462.0,1888.0,1777.0,466.0,3333.0,4054.0,3152.0,1010.0,5647.0,2450.0,3341.0,1628.0,2939.0,616.0,1240.0,1497.0,704.0,1284.0,1584.0,4059.0,1137.0,4823.0,4142.0,548.0,5817.0,6206.0,5707.0,3885.0,3765.0,280.0,437.0,446.0,2182.0,83498.7,1015221.0,1390168.361524
sub-NDARAB055BPR,800.0,523.0,2120.0,1531.0,450.0,3114.0,4044.0,3419.0,1011.0,4620.0,2466.0,3511.0,1709.0,2916.0,787.0,1533.0,1476.0,659.0,1317.0,1666.0,4151.0,1126.0,5032.0,3651.0,630.0,4667.0,7004.0,5493.0,3991.0,4155.0,298.0,461.0,561.0,2514.0,83406.0,914263.0,1415822.253019
sub-NDARAB282FDJ,1148.0,703.0,2848.0,2129.0,473.0,3254.0,5235.0,4134.0,1223.0,6515.0,3439.0,3755.0,2471.0,4165.0,651.0,1539.0,1980.0,888.0,1595.0,2098.0,4298.0,1723.0,5907.0,4719.0,1055.0,6981.0,9500.0,6481.0,4619.0,4127.0,368.0,634.0,578.0,2576.0,103810.0,1268267.151189,1702362.391749
sub-NDARAB348EWR,1039.0,717.0,2421.0,1690.0,632.0,3632.0,5251.0,3553.0,1419.0,5790.0,2864.0,2969.0,2060.0,2929.0,796.0,1321.0,1950.0,844.0,1548.0,1284.0,4518.0,1307.0,5874.0,4888.0,947.0,5575.0,7851.0,6885.0,4001.0,4605.0,266.0,453.0,533.0,2394.0,94803.2,1180790.0,1626880.832815
