rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
sub-NDARAA075AMK,992.0,673.0,2537.0,1519.0,420.0,3418.0,6494.0,3250.0,1053.0,4919.0,2491.0,3064.0,2215.0,3724.0,600.0,1570.0,1484.0,922.0,1717.0,1439.0,4825.0,1404.0,5491.0,4143.0,541.0,6904.0,7872.0,5168.0,4166.0,3888.0,393.0,423.0,357.0,2448.0,92527.4,1160787.0,1541168.960354
sub-NDARAA306NT2,735.0,667.0,1822.0,1305.0,356.0,2608.0,4844.0,3177.0,744.0,4814.0,2511.0,2599.0,1956.0,3069.0,646.0,1548.0,1165.0,737.0,1648.0,1332.0,3720.0,1062.0,4081.0,3279.0,583.0,5520.0,6449.0,4581.0,3610.0,3405.0,335.0,481.0,289.0,2324.0,78001.3,971588.0,1386474.818292
sub-NDARAA396TWZ,1184.0,922.0,2126.0,1704.0,499.0,3570.0,6366.0,3423.0,1031.0,6049.0,2644.0,3334.0,2088.0,3746.0,656.0,1477.0,1617.0,1060.0,1973.0,1721.0,4308.0,1484.0,4992.0,4029.0,577.0,5888.0,7476.0,5712.0,4664.0,4450.0,364.0,592.0,417.0,2566.0,94707.4,1214091.0,1605523.615153
sub-NDARAA504CRN,922.0,650.0,1622.0,1507.0,362.0,2670.0,5911.0,2897.0,786.0,4644.0,2147.0,3103.0,1775.0,3505.0,561.0,1500.0,1194.0,800.0,1418.0,1502.0,3530.0,1162.0,4310.0,3712.0,379.0,5792.0,6504.0,4857.0,3621.0,3817.0,381.0,402.0,310.0,1957.0,80208.8,995297.0,1341521.870666
sub-NDARAA536PTU,962.0,919.0,2243.0,1953.0,502.0,3792.0,6042.0,3931.0,1121.0,5812.0,2848.0,3888.0,2180.0,4131.0,618.0,1573.0,1595.0,1025.0,1987.0,1957.0,4452.0,1489.0,5276.0,4038.0,723.0,7119.0,8673.0,5060.0,4674.0,3735.0,456.0,506.0,442.0,2745.0,98467.8,1205728.0,1666859.877879
sub-NDARAA947ZG5,886.0,644.0,2139.0,1484.0,405.0,2818.0,5890.0,3461.0,1051.0,4827.0,2196.0,3279.0,1742.0,3559.0,681.0,1948.0,1559.0,546.0,1520.0,1515.0,4131.0,1366.0,4990.0,3765.0,395.0,5126.0,6996.0,5676.0,4661.0,3724.0,319.0,503.0,360.0,2285.0,86449.0,1122702.0,1584589.261499
sub-NDARAA948VFH,809.0,521.0,2035.0,1835.0,447.0,3164.0,4823.0,3110.0,884.0,6583.0,2033.0,3972.0,1787.0,3193.0,643.0,1505.0,1395.0,707.0,1385.0,2027.0,4036.0,1156.0,4462.0,4198.0,480.0,5183.0,6097.0,5003.0,3376.0,3158.0,317.0,422.0,328.0,2043.0,83116.4,1015221.0,1390168.361524
sub-NDARAB055BPR,743.0,569.0,1771.0,1622.0,331.0,2902.0,5020.0,2849.0,972.0,4854.0,2645.0,3723.0,1849.0,3168.0,638.0,1630.0,1091.0,903.0,1332.0,1881.0,3902.0,1221.0,4967.0,3623.0,610.0,5248.0,6876.0,4882.0,4269.0,4152.0,363.0,492.0,477.0,2281.0,83860.9,914263.0,1415822.253019
sub-NDARAB282FDJ,912.0,721.0,2825.0,1872.0,470.0,3405.0,6305.0,3871.0,1394.0,6478.0,3030.0,3969.0,2274.0,4483.0,670.0,1694.0,2047.0,1091.0,2092.0,2126.0,4196.0,1472.0,5400.0,4882.0,961.0,7110.0,8936.0,5913.0,4337.0,4537.0,397.0,629.0,447.0,2821.0,103764.0,1268267.151189,1702362.391749
sub-NDARAB348EWR,1079.0,718.0,2577.0,1829.0,589.0,3571.0,7258.0,3376.0,1207.0,5734.0,2787.0,2866.0,2109.0,3792.0,541.0,1535.0,1742.0,877.0,1948.0,1446.0,4234.0,1416.0,5783.0,4995.0,620.0,6234.0,7908.0,6621.0,4153.0,3565.0,313.0,524.0,397.0,2112.0,96454.3,1180790.0,1626880.832815
sub-NDARAB458VK9,1090.0,836.0,2391.0,1404.0,492.0,3210.0,6734.0,3842.0,1119.0,4918.0,3109.0,2917.0,2254.0,4329.0,632.0,1471.0,1443.0,965.0,1599.0,1289.0,4221.0,1312.0,4353.0,4758.0,707.0,6461.0,8649.0,5839.0,4473.0,4132.0,393.0,544.0,397.0,2412.0,94694.5,1162184.0,1592137.582949
