rh.aparc.thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
sub-NDARAA075AMK,2.847,2.446,2.746,2.132,2.647,2.928,2.891,3.102,2.441,2.648,2.705,2.328,2.923,2.99,2.611,2.751,2.843,2.931,2.699,1.817,2.443,2.572,2.647,2.662,2.826,2.786,3.08,2.632,3.076,2.93,3.195,3.067,2.712,2.876,2.76781,1160787.0,1541168.960354
sub-NDARAA306NT2,2.736,2.628,2.644,1.649,2.452,2.604,2.427,2.606,2.594,1.925,2.578,1.822,2.299,2.851,2.362,2.374,2.375,2.803,2.328,1.551,1.872,2.603,2.472,2.246,2.633,2.418,2.707,2.051,2.922,2.36,2.9,3.674,2.309,2.778,2.40108,971588.0,1386474.818292
sub-NDARAA396TWZ,2.669,2.413,2.473,1.996,3.118,2.844,2.62,2.682,2.35,2.2,2.698,2.154,2.764,3.205,2.49,2.616,2.797,2.796,2.618,1.638,2.335,2.505,2.595,2.568,2.801,2.535,2.944,2.35,3.126,2.635,3.082,3.097,2.851,3.068,2.61817,1214091.0,1605523.615153
sub-NDARAA504CRN,3.085,2.25,2.866,2.237,3.024,2.985,2.856,2.992,2.646,2.434,2.927,2.407,2.699,3.117,3.029,2.989,3.09,2.836,2.883,2.074,2.43,2.607,2.889,2.773,3.169,2.708,3.075,2.614,3.244,2.818,2.88,3.456,2.935,3.091,2.80937,995297.0,1341521.870666
sub-NDARAA536PTU,2.739,2.49,2.719,1.947,2.97,2.925,2.714,3.091,2.367,2.366,2.836,2.211,2.573,3.105,2.783,2.728,2.67,2.948,2.637,1.863,2.411,2.535,2.734,2.619,2.871,2.551,2.841,2.41,3.092,2.778,2.646,3.94,2.69,3.099,2.68288,1205728.0,1666859.877879
sub-NDARAA947ZG5,2.444,2.522,2.646,2.051,2.731,2.665,2.441,2.751,2.265,2.112,2.55,2.059,2.586,2.837,2.623,2.611,2.75,2.528,2.882,1.674,2.333,2.566,2.64,2.45,2.439,2.493,2.809,2.123,2.793,2.62,2.907,3.312,2.644,3.016,2.52365,1122702.0,1584589.261499
sub-NDARAA948VFH,3.031,2.94,2.929,2.056,2.719,2.82,2.871,2.831,2.667,2.401,3.053,2.217,2.601,3.183,2.745,2.825,2.972,3.151,2.957,1.74,2.415,2.769,2.891,2.811,3.193,2.853,3.225,2.724,3.317,3.094,3.023,3.258,3.106,3.099,2.80422,1015221.0,1390168.361524
sub-NDARAB055BPR,2.645,2.891,2.41,1.659,2.728,2.503,2.315,2.393,2.373,1.834,2.371,1.804,2.319,2.516,2.768,2.594,2.714,2.637,2.659,1.681,1.814,2.6,2.468,2.31,2.73,2.517,2.806,2.006,2.725,2.35,2.521,2.694,1.918,2.982,2.3607,914263.0,1415822.253019
sub-NDARAB282FDJ,2.91,2.779,2.772,2.037,3.222,2.673,2.61,2.765,2.572,2.045,2.86,1.995,2.617,3.063,2.893,2.779,2.819,2.737,2.753,1.675,2.317,2.654,2.753,2.722,2.983,2.594,2.957,2.436,2.978,2.779,2.915,3.498,2.369,3.169,2.64798,1268267.151189,1702362.391749
sub-NDARAB348EWR,2.821,2.607,2.825,2.391,3.106,2.949,2.77,3.186,2.559,2.46,3.058,2.445,2.871,3.149,3.06,2.702,2.816,3.105,2.952,2.177,2.421,2.668,2.676,2.807,3.185,2.743,3.013,2.518,3.153,2.927,3.005,3.617,2.801,3.317,2.80307,1180790.0,1626880.832815
sub-NDARAB458VK9,2.846,2.494,2.856,2.123,3.008,2.948,2.734,3.037,2.268,2.313,2.78,2.316,2.703,3.162,2.896,2.689,2.83,2.703,2.728,2.157,2.372,2.602,2.884,2.637,2.99,2.586,2.965,2.468,3.038,2.951,2.792,3.368,2.633,3.298,2.74401,1162184.0,1592137.582949
sub-NDARAB514MAJ,3.229,2.418,2.806,2.458,3.088,2.854,2.872,3.157,2.612,2.462,2.956,2.433,2.825,3.226,3.019,2.912,2.89,2.995,2.861,2.281,2.572,2.735,2.758,2.856,3.003,2.583,2.913,2.712,3.275,2.936,3.082,3.582,3.073,3.231,2.8405,1245816.0,1685202.523225
sub-NDARAB653ZXP,3.156,2.541,3.019,2.22,3.291,3.096,3.055,3.242,2.514,2.477,3.057,2.234,2.95,3.427,2.914,3.05,3.31,3.096,3.067,1.99,2.353,2.677,2.988,2.935,3.166,2.783,3.194,2.664,3.529,2.906,3.142,4.107,2.687,3.291,2.91529,1308976.0,1775143.037913
sub-NDARAB678VYW,2.701,2.476,2.782,1.978,2.65,2.698,2.558,2.715,2.47,2.29,2.613,2.13,2.508,2.975,2.915,2.662,2.877,2.773,2.591,1.868,2.241,2.529,2.843,2.515,2.588,2.403,2.774,2.395,3.03,2.621,2.393,3.33,2.884,3.245,2.59013,1421311.0,1997216.757544
sub-NDARAB708LM5,2.818,2.622,2.959,2.235,3.097,2.837,2.928,3.155,2.605,2.317,2.9,2.276,2.728,3.258,2.669,2.699,3.009,3.033,2.878,2.146,2.385,2.762,2.744,2.822,3.192,2.618,2.952,2.671,3.277,2.764,2.884,3.386,2.736,3.258,2.78526,1349620.0,1826159.068643
sub-NDARAB756JDJ,3.033,2.308,2.769,2.108,2.844,2.768,2.79,2.894,2.328,2.297,2.773,2.037,2.658,2.929,2.053,2.75,2.951,2.916,2.662,1.815,2.455,2.412,2.688,2.597,2.957,2.646,2.955,2.616,3.065,2.87,2.968,3.124,2.357,3.074,2.69155,1231531.0,1688611.860434
sub-NDARAB977GFB,2.735,2.351,2.736,2.314,2.882,2.976,2.772,2.99,2.508,2.325,3.08,2.476,2.917,3.176,2.782,2.706,2.995,2.941,3.014,2.198,2.753,2.593,2.497,2.806,2.878,2.826,3.053,2.545,3.115,2.917,3.421,3.92,2.816,3.207,2.80731,1005026.0,1368964.403724
sub-NDARAC296UCB,2.739,2.811,2.681,2.078,3.051,2.856,2.616,2.846,2.414,2.461,2.824,2.104,2.582,3.142,2.761,2.68,2.681,2.721,2.537,1.845,2.33,2.543,2.724,2.544,2.932,2.414,2.83,2.42,3.038,2.871,2.606,3.778,2.808,3.336,2.65015,1294257.0,1796360.119417
sub-NDARAC331VEH,3.02,2.443,2.792,2.176,2.492,2.782,2.722,3.004,2.468,2.26,2.929,2.221,2.731,3.118,3.016,2.803,2.874,2.734,2.713,1.987,2.322,2.554,2.793,2.585,2.872,2.572,2.931,2.513,3.304,2.852,2.693,3.963,2.686,3.01,2.71065,1132880.0,1547490.371584
sub-NDARAC349YUC,2.949,2.53,2.738,2.201,3.023,2.722,2.746,2.785,2.387,2.133,2.757,2.056,2.699,3.158,3.115,2.885,2.83,2.776,2.659,1.82,2.377,2.741,2.565,2.732,2.859,2.641,3.014,2.509,3.163,2.82,2.224,3.288,2.905,3.219,2.69429,1179952.0,1659666.636312
sub-NDARAC350BZ0,3.132,2.448,2.994,2.24,2.958,2.942,2.876,3.234,2.745,2.437,2.934,2.299,2.809,3.249,3.037,2.81,3.04,3.042,2.94,2.117,2.641,2.699,2.989,2.906,3.072,2.693,3.097,2.637,3.376,3.067,3.091,3.937,2.936,3.164,2.87001,1171620.0,1595588.015894
sub-NDARAC350XUM,2.566,2.714,2.749,2.327,2.5,2.774,2.65,2.634,2.738,2.474,2.761,2.407,2.922,2.543,2.805,2.751,2.671,2.58,2.373,2.291,2.173,2.632,2.538,2.555,2.649,2.638,2.862,2.524,2.536,2.559,3.553,2.962,2.554,2.964,2.60306,1196473.0,1757500.37791
sub-NDARAC462DZH,2.734,2.245,2.851,2.197,3.207,2.626,2.565,2.685,2.392,2.25,2.895,2.218,2.74,2.681,2.82,2.652,2.685,3.098,2.764,2.051,2.243,2.43,2.464,2.749,2.678,2.666,2.891,2.424,2.863,2.694,3.129,2.921,2.744,2.821,2.59309,1169603.0,1635700.981782
sub-NDARAC495TJ2,2.998,2.878,2.914,1.928,2.73,2.715,2.771,3.039,2.443,2.268,2.874,2.015,2.881,3.173,2.608,2.844,2.888,2.771,2.89,1.671,2.303,2.756,2.79,2.64,2.903,2.574,3.106,2.451,3.143,2.852,2.797,3.547,2.781,2.931,2.71542,991564.0,1377241.757036
