Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,SegmentedTotalIntracranialVol
sub-NDARAA075AMK,4220.8,460.4,11102.7,56772.6,7743.4,4137.8,6487.4,1852.6,615.6,2182.6,17467.5,3765.3,1733.8,250647.2,675.4,3760.3,0.0,0.0,3328.1,367.7,10950.9,55579.9,7489.9,4392.4,6389.1,1821.1,3968.8,1653.4,771.5,3604.3,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,475.8,571.3,479.1,903.8,1427409.0,1160787.0,293103.593059,296313.747508,589417.340567,198809.5,201562.5,400372.0,62018.0,767210.340567,1290338.0,1023716.0,1472463.0,0.926186,0.95542,14.0,12.0,26.0,1541168.960354,1482037.2
sub-NDARAA306NT2,6444.9,452.0,14727.7,45460.5,7096.9,3808.1,5220.6,1511.3,715.5,2157.6,17960.5,3604.5,1680.0,291580.9,589.0,3691.7,0.0,0.0,6879.7,380.2,14049.6,47143.3,6393.2,3707.4,5170.2,1511.5,3421.1,1832.9,710.1,3541.8,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,916.3,588.7,861.2,719.4,793.7,1287035.0,971588.0,197889.660148,195190.209213,393079.869361,209205.5,207082.5,416288.0,55962.0,545602.869361,1163052.0,847605.0,1364608.0,0.928279,0.984228,21.0,25.0,46.0,1386474.818292,1346209.5
sub-NDARAA396TWZ,7198.6,556.4,16443.6,66683.0,7351.8,4093.9,6309.0,1894.4,636.4,2131.8,19458.5,3837.8,1572.3,244704.7,629.0,3718.5,0.0,0.0,7411.7,520.4,16426.4,63394.2,7462.1,4094.9,6203.8,1829.8,3732.7,1539.9,640.5,3939.2,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,868.2,591.2,703.4,902.9,874.1,1482517.0,1214091.0,288397.318454,285551.066281,573948.384734,225333.5,224454.5,449788.0,61109.0,768311.384734,1317533.0,1049107.0,1528200.0,0.923385,0.951839,20.0,28.0,48.0,1605523.615153,1542175.8
sub-NDARAA504CRN,5243.7,242.7,10011.0,55372.6,6425.2,3672.6,5141.4,1624.0,631.0,1994.2,15513.7,4119.9,1661.8,230359.8,584.4,3605.7,0.0,0.0,5259.7,307.6,10164.3,53122.9,6169.1,3803.7,5075.1,1534.2,4039.8,1667.9,595.3,3574.6,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,786.9,402.6,634.8,624.1,856.9,1248975.0,995297.0,240908.258319,243251.834006,484160.092325,170056.5,169804.5,339861.0,54951.0,649942.092325,1118728.0,865050.0,1305284.0,0.931014,0.972987,6.0,5.0,11.0,1341521.870666,1318335.4
sub-NDARAA536PTU,4186.8,635.6,10866.3,57400.0,8048.7,4029.2,6657.3,1970.2,1181.8,1995.9,17354.0,4956.7,1776.3,306655.7,808.0,4257.3,0.0,0.0,5170.7,538.7,11087.1,56166.7,8034.2,4141.4,6527.2,1918.3,5104.4,1774.4,760.7,4035.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.3,306.6,649.6,380.5,936.1,1534587.0,1205728.0,306424.951953,302148.64534,608573.597294,207971.0,204834.0,412805.0,66636.0,791606.597294,1396959.0,1068100.0,1579940.0,0.920645,0.947854,15.0,6.0,21.0,1666859.877879,1588965.9
sub-NDARAA947ZG5,6448.9,498.4,16797.3,65795.3,7225.8,4532.2,6009.4,2001.1,888.2,2516.4,22968.4,4476.0,1604.2,308486.9,738.4,4753.4,0.0,0.0,6669.6,456.4,16316.1,67744.3,7289.8,4698.4,6177.8,1837.2,4403.2,1666.4,656.9,4832.7,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,860.0,413.2,752.3,845.8,834.9,1449737.0,1122702.0,253555.362353,256558.12484,510113.487193,206220.0,206318.0,412538.0,64499.0,710063.487193,1281993.0,954958.0,1580675.0,0.914898,0.99753,54.0,31.0,85.0,1584589.261499,1525640.8
sub-NDARAA948VFH,4805.0,554.5,13287.0,51696.4,6776.1,4680.2,5365.8,1805.0,555.1,2438.5,17511.9,3484.5,1572.7,227561.4,600.0,3636.5,0.0,0.0,5363.0,529.0,12871.7,52487.7,7032.9,4799.4,5383.6,1812.9,3428.6,1563.6,623.2,3565.8,0.0,0.0,0.0,96.6,0.0,0.0,0.0,0.0,0.0,0.0,793.8,460.8,591.0,520.8,799.1,1264303.0,1015221.0,248744.923851,248861.144184,497606.068035,174645.0,173312.0,347957.0,58232.0,663378.068035,1131687.0,882605.0,1365968.0,0.90946,0.982592,21.0,16.0,37.0,1390168.361524,1354346.8
sub-NDARAB055BPR,6492.5,688.0,13153.5,53133.2,7311.6,3169.4,5899.7,1514.5,1053.5,2042.9,17315.5,3615.3,1653.4,282643.3,603.2,3469.5,0.0,0.0,6339.1,560.4,13160.3,50660.8,7222.8,3330.1,5652.6,1566.2,3827.3,1525.7,687.8,3326.5,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,695.3,381.8,519.7,348.2,678.2,1217354.0,914263.0,190230.577372,196206.586811,386437.164183,174053.5,177158.5,351212.0,56808.0,550002.164183,1085052.0,781961.0,1406591.0,0.859821,0.99348,48.0,49.0,97.0,1415822.253019,1379976.9
sub-NDARAB282FDJ,6149.0,422.0,15192.6,56439.6,7994.8,4286.7,6308.1,2067.7,929.5,2291.3,20282.1,4582.1,1909.8,346287.5,796.4,4387.8,0.0,0.0,5836.4,394.9,14856.4,55930.1,8239.0,4538.3,6362.8,2002.5,4764.5,1800.1,700.3,4330.7,0.0,0.0,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,990.2,410.9,794.1,646.3,90.4,1635021.19491,1268267.151189,288328.083298,289513.452141,577841.535439,237942.528365,239858.528593,477801.056958,67784.00808,761313.557311,1490103.177634,1123349.133914,1692849.201803,0.960443,0.994412,18.0,24.0,42.0,1702362.391749,1649258.5
sub-NDARAB348EWR,3890.9,518.6,12538.0,59562.4,7432.4,3920.1,5876.7,1690.0,799.6,2161.4,19024.5,4181.9,1854.4,275273.5,647.0,3656.4,0.0,0.0,4027.9,488.4,12654.2,58448.2,7186.9,3890.2,5834.9,1703.8,4395.8,1764.1,657.1,3832.9,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,857.0,416.8,812.3,797.0,883.5,1476715.0,1180790.0,290281.732017,290527.914429,580809.646446,204666.0,208129.0,412795.0,60164.0,762302.646446,1331200.0,1035275.0,1536727.0,0.907697,0.944585,7.0,4.0,11.0,1626880.832815,1552743.5
